pdt1;346
pdt2;249
pdt3;591
pdt4;447
pdt5;581
pdt6;209
pdt7;302
pdt8;328
pdt9;587
pdt10;267
pdt11;510
pdt12;482
pdt13;463
pdt14;239
pdt15;288
pdt16;250
pdt17;215
pdt18;417
pdt19;439
pdt20;524
pdt21;447
pdt22;441
pdt23;367
pdt24;337
pdt25;478
pdt26;471
pdt27;280
pdt28;334
pdt29;381
pdt30;391
pdt31;573
pdt32;322
pdt33;283
pdt34;434
pdt35;250
pdt36;367
pdt37;534
pdt38;434
pdt39;283
pdt40;432
pdt41;303
pdt42;451
pdt43;290
pdt44;204
pdt45;584
pdt46;485
pdt47;455
pdt48;283
pdt49;251
pdt50;529
pdt51;535
pdt52;249
pdt53;542
pdt54;599
pdt55;353
pdt56;264
pdt57;245
pdt58;546
pdt59;243
pdt60;296
pdt61;573
pdt62;230
pdt63;424
pdt64;257
pdt65;486
pdt66;487
pdt67;302
pdt68;482
pdt69;463
pdt70;561
pdt71;242
pdt72;517
pdt73;478
pdt74;245
pdt75;422
pdt76;365
pdt77;495
pdt78;354
pdt79;438
pdt80;555
pdt81;508
pdt82;474
pdt83;546
pdt84;273
pdt85;547
pdt86;484
pdt87;219
pdt88;388
pdt89;348
pdt90;552
pdt91;509
pdt92;247
pdt93;477
pdt94;357
pdt95;281
pdt96;372
pdt97;407
pdt98;346
pdt99;219
pdt100;216
pdt101;440
pdt102;422
pdt103;538
pdt104;511
pdt105;313
pdt106;579
pdt107;363
pdt108;543
pdt109;288
pdt110;325
pdt111;454
pdt112;261
pdt113;373
pdt114;574
pdt115;201
pdt116;439
pdt117;435
pdt118;498
pdt119;460
pdt120;546
pdt121;232
pdt122;272
pdt123;323
pdt124;422
pdt125;404
pdt126;484
pdt127;574
pdt128;279
pdt129;337
pdt130;309
pdt131;264
pdt132;354
pdt133;567
pdt134;492
pdt135;466
pdt136;334
pdt137;521
pdt138;237
pdt139;508
pdt140;422
pdt141;235
pdt142;531
pdt143;346
pdt144;565
pdt145;207
pdt146;461
pdt147;222
pdt148;235
pdt149;260
pdt150;354
pdt151;443
pdt152;432
pdt153;239
pdt154;449
pdt155;573
pdt156;313
pdt157;309
pdt158;370
pdt159;543
pdt160;271
pdt161;257
